name|Opponent Rank|Opponent Elo Rating|Upsets scored|Upsets scored %|Upsets against|Upsets against %|Upsets|Upsets %|Point Time (seconds)|Game Time (minutes)|Set Time (minutes)|Match Time
Carlos Alcaraz Garfia|31|1970|28|24.8|13|11.5|41|36.3|45.7|4.96|47.9|2.03
Rafael Nadal|27|2020|61|4.8|166|13.0|227|17.7|45.7|4.82|45.0|1.9
Casper Ruud|43|1924|35|14.3|39|15.9|74|30.2|43.2|4.52|43.4|1.75
Stefanos Tsitsipas|29|1993|35|9.8|73|20.5|108|30.3|42.9|4.47|44.3|1.9
Novak Djokovic|24|2039|66|5.4|149|12.1|215|17.4|42.4|4.53|42.7|1.85
Felix Auger Aliassime|38|1950|32|12.6|55|21.7|87|34.4|45.6|4.83|47.5|1.95
Daniil Medvedev|33|1983|47|12.4|64|16.9|111|29.4|40.9|4.32|41.2|1.75
Andrey Rublev|37|1957|64|17.9|59|16.5|123|34.5|38.7|4.14|40.1|1.67
Taylor Harry Fritz|43|1929|61|19.8|64|20.8|125|40.6|39.0|4.15|40.8|1.77
Hubert Hurkacz|39|1947|35|16.0|49|22.4|84|38.4|40.7|4.33|43.2|1.85
Holger Vitus Nodskov Rune|43|1914|27|32.9|11|13.4|38|46.3|43.8|4.60|45.4|1.78
Alexander Zverev|32|1985|51|10.6|81|16.9|132|27.5|39.2|4.13|40.0|1.77
Pablo Carreno Busta|43|1932|60|12.6|103|21.7|163|34.3|39.5|4.22|40.7|1.72
Cameron Norrie|44|1923|50|19.4|47|18.2|97|37.6|42.4|4.53|43.5|1.82
Jannik Sinner|39|1950|26|14.8|22|12.5|48|27.3|44.2|4.79|46.5|1.9
Matteo Berrettini|39|1952|28|13.1|36|16.8|64|29.9|42.5|4.45|44.2|1.97
Marin Cilic|37|1966|82|9.1|168|18.6|250|27.6|40.4|4.30|42.0|1.83
Denis Shapovalov|38|1956|35|11.9|79|26.8|114|38.6|42.0|4.43|44.2|1.92
Frances Tiafoe|41|1941|59|21.9|55|20.4|114|42.4|40.4|4.32|42.7|1.92
Karen Khachanov|37|1958|51|14.0|74|20.4|125|34.4|41.4|4.43|43.7|1.92
Roberto Bautista Agut|41|1952|51|8.6|124|20.9|175|29.6|39.7|4.25|40.9|1.75
Nick Kyrgios|30|1988|77|24.6|38|12.1|115|36.7|35.0|3.60|36.3|1.6
Lorenzo Musetti|40|1926|35|33.7|14|13.5|49|47.1|44.9|4.76|45.8|1.85
Alex De Minaur|38|1944|39|15.9|54|22.0|93|37.8|43.0|4.66|44.8|1.9
Diego Sebastian Schwartzman|40|1943|45|10.7|99|23.5|144|34.1|42.1|4.58|43.1|1.85
Borna Coric|33|1968|72|21.5|55|16.4|127|37.9|41.0|4.33|42.3|1.8
Daniel Evans|39|1941|59|22.9|54|20.9|113|43.8|45.1|4.86|46.9|2.08
Grigor Dimitrov|35|1975|96|15.4|125|20.1|221|35.5|39.3|4.17|41.0|1.75
Miomir Kecmanovic|45|1917|35|20.3|28|16.3|63|36.6|41.2|4.44|43.1|1.75
Francisco Cerundolo|42|1913|19|32.8|8|13.8|27|46.6|43.1|4.77|45.7|1.87
Alejandro Davidovich Fokina|38|1937|26|20.0|20|15.4|46|35.4|42.9|4.70|45.3|1.97
Tommy Paul|43|1930|38|23.6|24|14.9|62|38.5|41.8|4.48|43.8|1.83
Sebastian Korda|38|1944|34|32.1|14|13.2|48|45.3|43.0|4.65|44.9|1.88
Maxime Cressy|42|1927|19|28.4|11|16.4|30|44.8|43.3|4.49|45.9|1.97
Botic Van De Zandschulp|42|1922|19|21.6|15|17.0|34|38.6|43.1|4.67|45.4|1.92
Yoshihito Nishioka|42|1935|65|31.9|21|10.3|86|42.2|40.8|4.38|41.2|1.75
Alexander Bublik|47|1920|33|16.9|36|18.5|69|35.4|37.7|4.00|39.4|1.63
Reilly Opelka|46|1929|33|19.2|38|22.1|71|41.3|40.1|4.11|42.9|1.82
Albert Ramos|47|1919|96|17.2|127|22.7|223|39.9|42.9|4.63|44.8|1.87
Emil Ruusuvuori|55|1884|33|25.8|20|15.6|53|41.4|43.7|4.72|44.7|1.83
John Isner|41|1949|83|10.7|171|22.0|254|32.7|37.7|3.89|41.3|1.83
Jack Draper|29|1977|14|41.2|1|2.9|15|44.1|44.3|4.78|46.6|1.68
Sebastian Baez|47|1901|8|14.8|15|27.8|23|42.6|44.0|4.84|45.2|1.82
Arthur Rinderknech|45|1898|28|36.8|10|13.2|38|50.0|44.6|4.63|45.5|1.93
Lorenzo Sonego|46|1911|32|17.1|38|20.3|70|37.4|45.6|4.86|48.0|2.02
Adrian Mannarino|48|1919|83|15.7|126|23.8|209|39.4|39.1|4.16|39.8|1.67
Brandon Nakashima|53|1900|23|27.7|6|7.2|29|34.9|44.9|4.71|47.1|1.88
Jenson Brooksby|41|1932|23|32.4|11|15.5|34|47.9|46.5|4.97|46.0|1.88
Andy Murray|28|2013|103|10.9|109|11.5|212|22.4|42.2|4.54|43.0|1.9
Alex Molcan|51|1898|14|25.5|11|20.0|25|45.5|41.7|4.55|43.6|1.8
Corentin Moutet|48|1906|32|32.3|14|14.1|46|46.5|44.9|4.84|47.7|2.12
Gael Monfils|37|1957|117|14.1|143|17.3|260|31.4|38.5|4.12|39.9|1.72
David Goffin|38|1958|66|12.4|117|22.0|183|34.3|38.5|4.16|39.7|1.68
Filip Krajinovic|43|1931|43|18.0|39|16.3|82|34.3|40.1|4.30|41.4|1.7
Fabio Fognini|45|1935|87|11.4|162|21.2|249|32.5|39.0|4.22|40.1|1.72
Marc Andrea Huesler|59|1876|12|34.3|4|11.4|16|45.7|40.5|4.25|42.6|1.73
Jaume Munar|51|1887|27|18.4|26|17.7|53|36.1|44.6|4.98|48.8|2.03
Aslan Karatsev|44|1918|17|15.2|33|29.5|50|44.6|45.0|4.88|46.7|2.03
Benjamin Bonzi|52|1899|8|14.0|4|7.0|12|21.1|40.2|4.31|42.4|1.75
Marcos Giron|43|1929|29|24.8|15|12.8|44|37.6|42.1|4.47|44.5|1.92
Pedro Martinez Portero|54|1881|22|21.8|16|15.8|38|37.6|47.5|5.22|50.3|2.12
Mackenzie Mcdonald|46|1915|43|28.7|14|9.3|57|38.0|40.9|4.37|42.1|1.88
Quentin Halys|50|1905|8|18.2|5|11.4|13|29.5|38.6|4.20|43.7|2.08
Jeffrey John Wolf|40|1939|14|38.9|3|8.3|17|47.2|45.3|4.67|44.9|1.83
Daniel Elahi Galan Riveros|57|1863|27|39.1|4|5.8|31|44.9|41.5|4.41|41.7|1.78
Richard Gasquet|37|1961|119|12.5|165|17.4|284|29.9|39.1|4.13|39.7|1.65
Mikael Ymer|56|1894|38|31.9|11|9.2|49|41.2|43.9|4.77|45.1|1.95
Laslo Djere|57|1889|35|17.6|48|24.1|83|41.7|43.6|4.73|47.0|1.95
Thiago Monteiro|69|1855|34|20.6|27|16.4|61|37.0|43.6|4.56|45.0|1.93
Bernabe Zapata Miralles|60|1867|11|25.0|6|13.6|17|38.6|42.1|4.49|42.6|1.68
Ilya Ivashka|52|1899|42|28.4|14|9.5|56|37.8|43.6|4.73|46.3|1.98
Roberto Carballes Baena|61|1872|40|23.5|22|12.9|62|36.5|45.2|4.85|46.0|1.92
Federico Coria|61|1863|16|19.5|19|23.2|35|42.7|44.4|4.80|44.9|1.88
Oscar Otte|47|1909|15|25.4|8|13.6|23|39.0|40.0|4.21|41.1|1.82
Kamil Majchrzak|84|1838|12|18.5|5|7.7|17|26.2|39.9|4.25|40.4|1.75
Christopher Oconnell|53|1904|11|30.6|1|2.8|12|33.3|42.1|4.54|46.6|2.28
Tomas Martin Etcheverry|81|1799|2|10.0|7|35.0|9|45.0|49.7|5.35|50.8|1.95
Dusan Lajovic|50|1906|66|17.4|78|20.6|144|38.0|40.3|4.29|41.9|1.77
Jiri Lehecka|40|1909|7|26.9|3|11.5|10|38.5|41.1|4.45|42.8|1.75
Joao Sousa|57|1895|76|16.6|118|25.7|194|42.3|37.4|4.02|38.5|1.65
Soon Woo Kwon|55|1886|20|19.6|15|14.7|35|34.3|44.7|4.81|46.5|2.1
Jordan Thompson|53|1895|35|17.8|38|19.3|73|37.1|43.7|4.62|45.0|2.0
Christian Garin|57|1891|24|12.8|42|22.5|66|35.3|42.0|4.58|44.1|1.92
Ugo Humbert|45|1928|28|19.3|36|24.8|64|44.1|42.5|4.53|45.0|1.98
Marton Fucsovics|46|1915|58|23.8|43|17.6|101|41.4|43.2|4.72|45.7|2.03
Roman Safiullin|45|1907|12|50.0|1|4.2|13|54.2|45.6|5.04|50.8|2.23
Facundo Bagnis|67|1856|18|16.4|17|15.5|35|31.8|41.7|4.49|43.4|1.77
Gregoire Barrere|47|1913|10|22.7|3|6.8|13|29.5|37.1|3.97|38.5|1.83
Nikoloz Basilashvili|49|1914|50|16.2|78|25.2|128|41.4|38.0|4.10|39.3|1.67
Taro Daniel|61|1878|39|22.4|17|9.8|56|32.2|43.1|4.60|43.9|1.88
Thanasi Kokkinakis|44|1935|36|34.6|5|4.8|41|39.4|39.1|4.18|42.0|1.87
Daniel Altmaier|61|1884|12|22.6|12|22.6|24|45.3|43.8|4.74|45.9|1.87
Tallon Griekspoor|47|1919|14|24.1|9|15.5|23|39.7|40.7|4.33|43.3|1.87
Vasek Pospisil|40|1949|67|22.1|49|16.2|116|38.3|36.6|3.85|38.7|1.65
Zhizhen Zhang|67|1864|8|38.1|1|4.8|9|42.9|38.7|4.21|42.4|1.8
Alejandro Tabilo|60|1850|13|31.0|2|4.8|15|35.7|41.8|4.42|41.6|1.6
Marco Cecchinato|57|1903|30|16.9|47|26.4|77|43.3|39.1|4.20|40.3|1.72
Dominic Thiem|35|1970|73|14.5|108|21.4|181|35.9|39.0|4.15|40.7|1.75
Radu Albot|65|1876|41|18.4|28|12.6|69|30.9|40.8|4.42|42.1|1.85
Emilio Gomez|132|1769|6|17.6|2|5.9|8|23.5|39.8|4.22|39.8|1.87
Juan Pablo Varillas Patino Samudio|136|1750|6|20.0|4|13.3|10|33.3|46.1|4.89|50.6|1.78
Denis Kudla|55|1901|43|22.6|39|20.5|82|43.2|36.2|3.82|36.9|1.65
Jason Kubler|60|1878|10|35.7|3|10.7|13|46.4|45.2|4.82|46.6|2.13
Hugo Gaston|48|1908|17|34.0|8|16.0|25|50.0|41.2|4.58|43.6|1.85
Jiri Vesely|55|1891|64|21.1|57|18.8|121|39.8|38.5|4.07|40.3|1.73
Steve Johnson|48|1920|73|18.6|65|16.5|138|35.1|36.2|3.81|38.0|1.62
Michael Mmoh|65|1876|6|16.2|2|5.4|8|21.6|42.4|4.49|42.6|2.0
Norbert Gombos|57|1887|20|25.3|11|13.9|31|39.2|39.4|4.26|40.9|1.83
Alexei Popyrin|43|1909|27|24.8|12|11.0|39|35.8|39.6|4.25|43.0|1.85
Pablo Andujar|50|1908|72|18.0|98|24.5|170|42.5|41.4|4.54|42.6|1.77
Jurij Rodionov|64|1875|7|29.2|1|4.2|8|33.3|41.2|4.45|45.1|1.75
Christopher Eubanks|69|1862|9|29.0|1|3.2|10|32.3|36.3|3.75|37.5|1.65
Fernando Verdasco|39|1951|130|13.0|207|20.7|337|33.7|39.8|4.26|41.2|1.78
Federico Delbonis|54|1899|69|19.1|74|20.4|143|39.5|41.1|4.43|43.3|1.8
Elias Ymer|71|1834|21|23.9|8|9.1|29|33.0|40.5|4.38|43.0|1.82
Yannick Hanfmann|63|1879|25|37.9|9|13.6|34|51.5|41.2|4.42|42.5|1.72
Jack Sock|42|1941|73|22.5|58|17.8|131|40.3|36.6|3.84|37.8|1.63
Hugo Dellien|97|1819|6|8.7|13|18.8|19|27.5|41.5|4.58|43.3|1.78
Jozef Kovalik|73|1849|16|24.6|8|12.3|24|36.9|41.8|4.53|43.8|1.88
Gilles Simon|40|1947|106|11.8|207|23.1|313|34.9|40.7|4.43|42.5|1.82
John Millman|46|1925|51|19.2|43|16.2|94|35.3|40.9|4.40|42.6|1.85
Stan Wawrinka|32|1988|130|15.0|148|17.1|278|32.2|39.5|4.23|41.6|1.87
Jan Lennard Struff|41|1937|78|21.0|66|17.8|144|38.8|37.8|4.05|39.7|1.7
Nicolas Jarry|59|1878|22|18.2|22|18.2|44|36.4|39.3|4.15|41.8|1.85
James Duckworth|56|1888|31|21.8|21|14.8|52|36.6|38.4|4.11|40.7|1.88
Maximilian Marterer|54|1891|16|19.8|14|17.3|30|37.0|39.3|4.07|39.8|1.68
Liam Broady|49|1910|12|32.4|0|0.0|12|32.4|38.2|4.06|37.3|1.68
Carlos Taberner|56|1863|10|27.8|6|16.7|16|44.4|46.5|4.88|45.5|1.92
Ricardas Berankis|61|1876|71|25.8|35|12.7|106|38.5|36.4|3.91|37.8|1.65
Henri Laaksonen|67|1865|32|26.4|11|9.1|43|35.5|39.5|4.31|41.5|1.83
Benoit Paire|46|1927|78|14.7|146|27.4|224|42.1|34.5|3.79|36.9|1.58
Dennis Novak|63|1872|16|21.6|11|14.9|27|36.5|37.5|4.00|38.5|1.68
Renzo Olivo|73|1839|18|32.1|6|10.7|24|42.9|41.9|4.64|44.9|1.92
Damir Dzumhur|57|1896|53|20.9|39|15.4|92|36.2|38.6|4.14|39.0|1.67
Mikhail Kukushkin|47|1915|95|23.7|69|17.2|164|40.9|40.0|4.32|41.6|1.78
Sebastian Ofner|50|1912|10|40.0|2|8.0|12|48.0|40.0|4.20|41.4|1.7
Nicolas Kicker|70|1864|8|17.0|6|12.8|14|29.8|42.0|4.43|41.8|1.75
Dimitar Kuzmanov|222|1692|3|12.0|1|4.0|4|16.0|44.2|4.78|44.8|1.93
Stefan Kozlov|47|1902|9|25.7|3|8.6|12|34.3|43.1|4.66|42.6|1.63
Dominik Koepfer|43|1914|18|21.4|13|15.5|31|36.9|41.1|4.43|43.1|1.95
Cedrik Marcel Stebe|54|1912|28|34.1|5|6.1|33|40.2|42.5|4.57|42.5|1.8
Gianluca Mager|62|1867|13|22.0|12|20.3|25|42.4|40.8|4.33|42.4|1.87
Mitchell Krueger|62|1879|7|29.2|1|4.2|8|33.3|43.0|4.48|42.5|1.67
Lukas Rosol|44|1928|53|18.8|51|18.1|104|36.9|33.6|3.58|34.9|1.5
Max Purcell|49|1909|8|40.0|0|0.0|8|40.0|41.3|4.38|41.1|1.77
Marco Trungelliti|80|1824|9|28.1|2|6.3|11|34.4|41.8|4.55|44.1|2.15
Ernesto Escobedo|61|1879|16|29.1|4|7.3|20|36.4|39.8|4.20|40.6|1.77
Gastao Elias|72|1855|19|22.9|12|14.5|31|37.3|41.9|4.51|42.8|1.82
Peter Gojowczyk|44|1919|51|29.3|20|11.5|71|40.8|36.8|3.91|37.7|1.6
Lloyd George Muirhead Harris|58|1888|31|23.1|20|14.9|51|38.1|41.5|4.33|41.7|1.77
Robin Haase|53|1907|92|18.4|83|16.6|175|35.0|37.3|3.98|38.8|1.68
Alessandro Giannessi|80|1832|9|25.7|3|8.6|12|34.3|44.0|4.91|48.8|2.17
Tennys Sandgren|50|1919|21|17.4|27|22.3|48|39.7|41.4|4.38|43.1|1.9
Pablo Cuevas|59|1889|80|17.4|94|20.5|174|37.9|38.7|4.11|40.0|1.67
Juan Ignacio Londero|60|1869|15|17.6|15|17.6|30|35.3|41.5|4.39|42.5|1.87
Egor Gerasimov|61|1874|35|30.2|8|6.9|43|37.1|40.7|4.39|43.2|1.85
Salvatore Caruso|51|1893|10|15.9|7|11.1|17|27.0|44.0|4.81|45.9|1.97
Pierre Hugues Herbert|43|1939|63|28.6|28|12.7|91|41.4|37.6|3.99|40.0|1.73
Ernests Gulbis|43|1938|122|25.3|89|18.5|211|43.8|38.9|4.12|40.2|1.7
Stefano Travaglia|59|1880|18|22.2|10|12.3|28|34.6|41.1|4.43|44.1|1.9
Bjorn Fratangelo|53|1899|16|26.7|4|6.7|20|33.3|38.5|4.11|39.4|1.72
Thomas Fabbiano|61|1882|16|17.8|14|15.6|30|33.3|39.9|4.35|41.6|1.9
Yasutaka Uchiyama|69|1863|6|15.8|3|7.9|9|23.7|47.1|4.91|47.0|2.07
Sam Querrey|43|1936|122|17.1|139|19.5|261|36.7|35.2|3.67|36.9|1.58
Aljaz Bedene|49|1906|60|20.3|44|14.9|104|35.3|38.6|4.10|40.4|1.72
Prajnesh Gunneswaran|76|1826|4|11.4|5|14.3|9|25.7|37.8|3.90|37.3|1.52
Kenny De Schepper|61|1869|14|16.3|13|15.1|27|31.4|35.0|3.68|36.7|1.53
Andreas Seppi|43|1935|125|15.5|144|17.8|269|33.3|38.9|4.18|40.7|1.75
Gerald Melzer|79|1844|9|16.7|9|16.7|18|33.3|40.1|4.25|41.0|1.72
Marius Copil|62|1884|41|27.3|18|12.0|59|39.3|38.9|4.06|40.6|1.72
Cem Ilkel|171|1744|2|6.9|8|27.6|10|34.5|39.9|4.27|40.4|1.78
Lucas Pouille|44|1947|40|15.0|61|22.9|101|38.0|36.7|3.94|38.8|1.73
Jason Jung|84|1844|7|23.3|4|13.3|11|36.7|39.4|4.29|42.7|1.72
Guido Andreozzi|52|1870|8|22.2|6|16.7|14|38.9|42.8|4.66|44.1|1.92
Evgeny Donskoy|56|1896|34|19.8|26|15.1|60|34.9|37.8|4.06|39.5|1.68
Mirza Basic|84|1847|22|31.4|12|17.1|34|48.6|37.8|3.97|39.3|1.67
Roger Federer|27|2017|77|5.1|195|12.8|272|17.9|37.0|3.90|37.8|1.65
Jimmy Connors|45|1975|53|3.8|155|11.1|208|14.9|42.9|4.76|44.8|1.95
Ivan Lendl|34|1991|61|4.7|167|13.0|228|17.7|39.4|4.29|40.9|1.75
Pete Sampras|32|1992|51|5.2|169|17.2|220|22.4|32.7|3.56|34.7|1.55
John McEnroe|32|2002|56|5.3|123|11.6|179|16.8|42.5|4.63|43.8|1.88
Bjorn Borg|40|1984|32|4.6|76|10.9|108|15.5|38.0|3.99|37.1|1.38
Andre Agassi|36|1971|100|8.8|195|17.1|295|25.8|33.6|3.66|34.3|1.48
Boris Becker|31|1993|94|10.2|146|15.8|240|25.9|35.3|3.88|38.2|1.68
Stefan Edberg|33|1987|67|6.3|185|17.3|252|23.5|33.9|3.73|35.5|1.53
Mats Wilander|42|1965|104|13.5|98|12.7|202|26.2|33.2|3.67|34.7|1.5
Guillermo Vilas|56|1937|51|4.6|178|15.9|229|20.4|41.7|4.76|46.0|2.3
Lleyton Hewitt|37|1957|122|13.9|130|14.8|252|28.7|40.8|4.39|41.9|1.87
Andy Roddick|37|1966|43|5.2|147|17.9|190|23.1|38.4|3.95|39.2|1.65
Jim Courier|38|1965|77|10.4|137|18.5|214|28.9|36.4|3.97|38.3|1.65
Michael Chang|40|1959|76|7.8|183|18.8|259|26.7|38.1|4.20|39.5|1.68
Yevgeny Kafelnikov|38|1960|51|5.6|240|26.2|291|31.8|34.1|3.74|35.9|1.52
Gustavo Kuerten|42|1943|54|9.8|131|23.8|185|33.6|36.1|3.87|37.8|1.63
Goran Ivanisevic|39|1961|94|10.1|210|22.6|304|32.7|31.2|3.34|33.0|1.4
David Ferrer|35|1971|83|7.5|214|19.3|297|26.8|40.5|4.38|41.1|1.73
Thomas Muster|52|1919|88|9.9|170|19.0|258|28.9|34.8|3.82|36.1|1.5
Juan Martin Del Potro|28|2009|126|20.6|64|10.5|190|31.0|44.1|4.64|45.1|1.9
Michael Stich|36|1973|58|10.3|115|20.5|173|30.8|33.4|3.62|35.4|1.55
Marat Safin|39|1951|93|13.5|160|23.3|253|36.8|38.0|4.07|40.4|1.8
Juan Carlos Ferrero|39|1948|104|14.0|165|22.3|269|36.3|40.8|4.38|42.3|1.82
Carlos Moya|42|1936|102|11.4|209|23.4|311|34.8|37.1|4.05|39.3|1.68
Patrick Rafter|38|1964|63|11.5|98|17.9|161|29.4|35.1|3.79|36.7|1.6
Yannick Noah|47|1948|65|9.7|117|17.5|182|27.2|40.5|4.31|40.7|1.57
Tomas Berdych|31|1995|85|8.7|190|19.4|275|28.1|39.8|4.20|40.2|1.7
Marcelo Rios|52|1927|69|11.9|132|22.8|201|34.7|34.1|3.72|35.5|1.43
Nikolay Davydenko|38|1952|83|10.2|187|23.1|270|33.3|41.3|4.44|42.2|1.73
Richard Krajicek|37|1964|90|14.3|138|21.9|228|36.2|33.4|3.59|35.5|1.52
